"Location ID","Name","Type","Comment","Country","State","County","Latitude","Longitude","Horizontal Datum","Horizontal Collection Method","Vertical Datum","Vertical Collection Method","Location Groups","Elevation","Elevation Unit","Standards","EA_Closed Date","EA_EMS When Created","EA_EMS When Updated","EA_EMS Who Created","EA_EMS Who Updated","EA_Established Date","EA_Well Tag ID"
"E338984","EV_DC1_CONSTRUCTION","River, Stream, or Creek","Replaces EV_DC1 during bypass period of Harmer Dam Sedimentation Pond","","","","49.789338","-114.785004","","Geographic Positioning System (NAD83)","","","425","1460","m","","","6/16/2025 2:24:21 PM","1/27/2026 1:17:04 PM","Created by Alex Trapp from 40 Kootenay, Nelson","Updated by  EMS from 40 Kootenay, Nelson","6/16/2025",""
"E340745","KSM(PE106824)WTP8","Outfall","Treated effluent discharge from WTP8 into Treaty Creek, PTMA region of the mine site","","","","56.579257","-129.855759","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:20:44 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340746","KSM(PE106824)EWQSC1","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 1 into Unnamed Creek","","","","56.5295","-130.2772","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:25:17 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340747","KSM(PE106824)EWQSC2","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 2 into Unnamed Creek","","","","56.5288","-130.2774","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:27:12 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340748","KSM(PE106824)EWQSC3","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 3 into Unnamed Creek","","","","56.5285","-130.2774","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:28:33 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340749","KSM(PE106824)EWQSC4","Outfall","Effluent discharge from P8 Early Works Quarry Sediment Control Pond 4 into Unnamed Creek","","","","56.5277","-130.2785","","Google Earth, Google Maps, or other Satellite Imagery","","","106814; 106824","","","","","1/16/2026 1:30:01 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340750","KSM(PE106824)MC1A-US","River, Stream, or Creek","Environmental Monitoring Reference site MC1A-US in Mitchell Creek","","","","56.5297","-130.2422","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:33:09 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340751","KSM(PE106824)MC1B","River, Stream, or Creek","Environmental monitoring site Mc1B nearfield to WTP 6 in Mitchell Creek","","","","56.5214","-130.3175","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:35:45 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340752","KSM(PE106824)NTR2","River, Stream, or Creek","North Treaty Creek Reference NTR2","","","","56.586","-129.8546","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:37:29 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340753","KSM(PE106824)TRC2C","River, Stream, or Creek","100m Downstream of TWTP8 Discharge TRC2C","","","","56.5786","-129.855","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:40:51 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340754","KSM(PE106824)TRC2","River, Stream, or Creek","2km Downstream of TWTP8 Discharge TRC2","","","","56.5713","-129.8289","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/16/2026 1:42:18 PM","","Created by Sarah Tyler from 60 Skeena","","1/16/2026",""
"E340764","Two River 16-3 Temporary Sources","Stack","","","","","56.172276","-120.273325","","Geographic Positioning System (NAD83)","","","","","","","","1/22/2026 11:01:41 AM","","Created by Database Link for EMA from 71 Omineca Peace, Oil and Gas Commission","","1/22/2026",""
"E340784","City of Abbotsford (112754) Refuse","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 11:41:33 AM","1/23/2026 1:02:17 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340785","City of Abbotsford (112754) Leachate from un-lined landfill","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 11:53:00 AM","1/23/2026 1:20:05 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340786","City of Abbotsford (112754) Leachate from lined landfill","Landfill","","","","","49.063744","-122.295777","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:18:54 PM","1/23/2026 2:12:34 PM","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","Updated by Database Link for EMA from 10 Vancouver Island, Nanaimo","1/23/2026",""
"E340787","City of Abbotsford (112754) Landfill gas","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:36:36 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340788","City of Abbotsford (112754) Stornwater","Storm Sewer","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/23/2026 1:44:51 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340789","RE-112524 City of Kimberley WWTP Outfall","Outfall","","","","","49.6304","-115.9618","","Google Earth, Google Maps, or other Satellite Imagery","","","112524","","","","","1/23/2026 3:23:41 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/23/2026",""
"E340790","ST.MARY RIVER UPSTREAM NORTH SIDE","River, Stream, or Creek","Upstream monitoring location, north side river, for RE-112524","","","","49.6303","-115.9626","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 3:57:47 PM","1/23/2026 4:48:20 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340791","ST. MARY RIVER UPSTREAM SOUTH SIDE","River, Stream, or Creek","upstream monitoring location, side side river, for RE-112524","","","","49.6301","-115.963","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:02:25 PM","1/23/2026 4:49:21 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340792","ST. MARY RIVER EDGE OF IDZ","River, Stream, or Creek","downstream edge of initial dilution zone for RE-112524","","","","49.6305","-115.961","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:08:09 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340793","MARK CREEK","River, Stream, or Creek","Immediately prior to confluence w. St. Mary River, monitoring location for RE-112524","","","","49.6308","-115.9607","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:12:28 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340794","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 280 M","River, Stream, or Creek","downstream monitoring location, north side of river, 280 m from outfall terminus for RE-112524","","","","49.6298","-115.9573","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:22:36 PM","1/23/2026 4:44:04 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340795","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 340 M","River, Stream, or Creek","downstream monitoring location, north side of river, 340 m from outfall terminus for RE-112524","","","","49.6294","-115.9566","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:30:36 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340796","ST. MARY RIVER DOWNSTREAM NORTH SHORELINE 600 M","River, Stream, or Creek","downstream monitoring location, north side of river, 600 m from outfall terminus for RE-112524","","","","49.6276","-115.954","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:33:29 PM","1/23/2026 4:40:12 PM","Created by Kirsten White from 41 Kootenay, Cranbrook","Updated by Kirsten White from 41 Kootenay, Cranbrook","1/23/2026",""
"E340797","ST. MARY RIVER DOWNSTREAM SOUTH SHORELINE 600 M","River, Stream, or Creek","downstream monitoring location, south side of river, 600 m from outfall terminus for RE-112524","","","","49.6276","-115.9552","","Google Earth, Google Maps, or other Satellite Imagery","","","","","","","","1/23/2026 4:36:51 PM","","Created by Kirsten White from 41 Kootenay, Cranbrook","","1/23/2026",""
"E340804","City of Abbotsford (112754) Landfill gas management facilities","Landfill","","","","","49.065","-122.2974","","Google Earth, Google Maps, or other Satellite Imagery","","","112754","","","","","1/26/2026 2:39:06 PM","","Created by Database Link for EMA from 10 Vancouver Island, Nanaimo","","1/26/2026",""
"E340824","Septimus 8-22 NOx Emissions","Stack","","","","","56.034248","-120.87647","","Geographic Positioning System (NAD83)","","","106018","","","","","1/30/2026 2:29:07 PM","","Created by Database Link for EMA from 71 Omineca Peace, Oil and Gas Commission","","1/30/2026",""
"E340844","TAILS","Outfall","Eskay Tailings deposition to TMSF","","","","56.6258","-130.5161","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 8:42:46 AM","","Created by Database Link for EMA from 60 Skeena","","2/3/2026",""
"E340845","SLUD","Outfall","Water Treatment Plant Sludge deposition to TMSF (SLUD)","","","","56.6258","-130.5161","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 8:51:28 AM","","Created by Database Link for EMA from 60 Skeena","","2/3/2026",""
"E340846","MWTP-IN","In-Plant","influent to mine water treatment plant","","","","56.6421","-130.461","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:04:18 AM","","Created by Todd Adamsson from 60 Skeena","","2/3/2026",""
"E340847","LTC-3.60","River, Stream, or Creek","upstream reference, Little Tom Mackay Creek","","","","56.635","-130.5289","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:09:02 AM","","Created by Todd Adamsson from 60 Skeena","","2/3/2026",""
"E340848","TC-3.85","River, Stream, or Creek","Recieving environment compliance limit attainment point. Tom Mackay Creek downstream of MWTP discharge.","","","","56.6441","-130.4686","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:13:43 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340849","TC-5.67","River, Stream, or Creek","Recieving environment Tom Mackay Creek downstream of TM1 discharge.","","","","56.647","-130.4821","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:17:56 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340850","KC-2.00","River, Stream, or Creek","Recieving environment Ketchum Creek downstream of D7 discharge.","","","","56.6396","-130.4205","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:20:50 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340851","EC-7.60","River, Stream, or Creek","Eskay Creek downstream of Mackay Adit","","","","56.6223","-130.4707","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:23:37 AM","2/3/2026 10:35:56 AM","Created by Todd Adamsson from 62 Skeena, Terrace","Updated by Todd Adamsson from 62 Skeena, Terrace","2/3/2026",""
"E340852","EC-5.50","River, Stream, or Creek","Eskay Creek downgradient of south pit","","","","56.6329","-130.4548","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:34:55 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340853","EC-4.90","River, Stream, or Creek","Eskay Creek downstream of Emma Adit","","","","56.6407","-130.4405","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:38:30 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340854","EC-0.03","River, Stream, or Creek","Eskay Creek upstream of Unuk River","","","","56.6151","-130.4276","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:40:38 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340855","CC-9.16","River, Stream, or Creek","Coulter Creek, downgradient of TMSF","","","","56.6074","-130.5035","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:43:17 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340856","CC-6.38","River, Stream, or Creek","Coulter Creek, downgradient of TMSF","","","","56.5849","-130.5116","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:45:28 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340857","CC-1.67","River, Stream, or Creek","Coulter Creek, probable TMSF seepage impact site","","","","56.5456","-130.5049","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:47:29 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340858","CCT-0.20","River, Stream, or Creek","Coulter Creek tributary Downgradient of TMSF","","","","56.5879","-130.5135","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:49:30 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340859","HC-20.9","River, Stream, or Creek","Harrymel Creek, Downgradient of TMSF","","","","56.627","-130.5585","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:51:27 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340860","HC-15.4","River, Stream, or Creek","Harrymel Creek, Downgradient of TMSF","","","","56.5811","-130.5684","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:52:47 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340861","HC-0.00","River, Stream, or Creek","Harrymel Creek, Upstream of Unuk River","","","","56.452","-130.5669","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:54:26 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340862","UR-85.6","River, Stream, or Creek","Unuk River, Upstream reference","","","","56.6569","-130.3524","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:56:20 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340863","UR-78.6","River, Stream, or Creek","Unuk River, Downstream of Ketchum Creek","","","","56.6154","-130.4259","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:58:12 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340864","UR-76.8","River, Stream, or Creek","Unuk River, Downstream of Eskay Creek","","","","56.6015","-130.4419","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 10:59:56 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340865","UR-67.0","River, Stream, or Creek","Unuk River, Downstream of Coulter Creek","","","","56.5286","-130.499","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 11:01:28 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340866","UR-62.1","River, Stream, or Creek","Unuk River, Upstream of Sulphurets Creek","","","","56.4909","-130.5057","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 11:02:56 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340867","UR-61.4","River, Stream, or Creek","Unuk River, downstream of Sulphurets Creek","","","","56.4847","-130.5077","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 11:04:39 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340868","UR-55.3","River, Stream, or Creek","Unuk River, downstream of Harrymel Creek","","","","56.4502","-130.5659","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 11:06:15 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340869","UR-43.9","River, Stream, or Creek","Unuk River, Upstream of USA border","","","","56.3728","-130.6868","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 11:07:49 AM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340870","MW17-02A","Well","KM59 Camp","","","","56.6543","-130.428","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:09:38 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340871","MW17-02B-R","Well","KM59 Camp","","","","56.6541","-130.428","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:13:03 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340872","MW17-03A","Well","KM59 Camp","","","","56.653","-130.4286","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:14:25 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340873","MW17-03B","Well","KM59 Camp","","","","56.653","-130.4286","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:15:57 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340874","MW17-04A","Well","KM59 Camp","","","","56.6519","-130.4305","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:17:42 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340875","MW17-04B","Well","KM59 Camp","","","","56.6519","-130.4304","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:19:26 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340876","MW22-09","Well","TMSF North Dam","","","","56.6407","-130.5039","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:21:12 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340877","MW22-10A","Well","Ridge West of TMSF","","","","56.6187","-130.5364","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:23:03 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340878","MW22-11","Well","TMSF South Dam","","","","56.6095","-130.5345","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:24:52 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340879","MW22-12","Well","TMSF South Dam","","","","56.6044","-130.5254","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:26:13 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340880","MW22-13","Well","Albino Storage Facility","","","","56.6551","-130.4944","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:27:44 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340881","MW22-14","Well","Albino Storage Facility","","","","56.6478","-130.4963","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:29:02 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340882","MW22-15","Well","Albino Storage Facility","","","","56.6555","-130.4943","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:30:28 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340883","BH-PP1-05A","Well","Southwest of Process Plant Pad","","","","56.6394","-130.4729","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:33:18 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340884","BH-2022-WRSF-08","Well","MRSA","","","","56.6375","-130.4664","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:35:06 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340885","BH-PP1-05B","Well","Southwest of Process Plant Pad","","","","56.6394","-130.4729","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:36:46 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340886","G-SP-01B","Well","South Pit","","","","56.6377","-130.4556","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:38:20 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340887","BH-2025-MRSA-02","Well","MRSACP","","","","56.6521","-130.4486","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:46:20 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340888","BH-2025-MRSA-03","Well","MRSACP","","","","56.6492","-130.4486","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:48:08 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340889","BH-2025-TMSF-01A","Well","TMSF North Dam","","","","56.6422","-130.5043","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:49:34 PM","2/3/2026 12:58:31 PM","Created by Todd Adamsson from 62 Skeena, Terrace","Updated by Todd Adamsson from 62 Skeena, Terrace","2/3/2026",""
"E340890","BH-2025-TMSF-01B","Well","TMSF North Dam","","","","56.6422","-130.5043","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:50:27 PM","2/3/2026 12:57:24 PM","Created by Todd Adamsson from 62 Skeena, Terrace","Updated by Todd Adamsson from 62 Skeena, Terrace","2/3/2026",""
"E340891","BH-2025-TMSF-01C","Well","TMSF North Dam","","","","56.6422","-130.5043","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 12:51:34 PM","2/3/2026 12:55:43 PM","Created by Todd Adamsson from 62 Skeena, Terrace","Updated by Todd Adamsson from 62 Skeena, Terrace","2/3/2026",""
"E340892","BH-2025-TMSF-02A","Well","TMSF North Dam","","","","56.6414","-130.4986","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:01:24 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340893","BH-2025-TMSF-02B","Well","TMSF North Dam","","","","56.6414","-130.4986","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:02:27 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340894","BH-2025-TMSF-04A","Well","TMSF North Dam","","","","56.6395","-130.4929","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:04:06 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340895","BH-2025-TMSF-04B","Well","TMSF North Dam","","","","56.6395","-130.4929","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:05:10 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340896","BH-2025-TMSF-05B","Well","TMSF south Dam","","","","56.6052","-130.5272","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:07:16 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340897","BH-2025-TMSF-05C","Well","TMSF south Dam","","","","56.6052","-130.5272","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:08:09 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340898","BH-2025-TMSF-06A","Well","TMSF north Dam","","","","56.6052","-130.5272","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:10:08 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340899","BH-2025-TMSF-06B","Well","TMSF north Dam","","","","56.6052","-130.5272","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:11:02 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340900","BH-2025-TMSF-08A","Well","TMSF North Dam West Abutment","","","","56.6332","-130.5197","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:12:41 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340901","BH-2025-TMSF-08B","Well","TMSF North Dam West Abutment","","","","56.6332","-130.5197","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:13:32 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340902","BH-2025-TMSF-08C","Well","TMSF North Dam West Abutment","","","","56.6332","-130.5197","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:14:30 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340903","BH-2026-TMSF-R","Well","Monitoring for seepage from TMSF towards Coulter Creek.","","","","56.6277","-130.5064","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:58:55 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
"E340904","BH-2026-TMSF-R B","Well","Monitoring for seepage from TMSF towards Coulter Creek.","","","","56.6277","-130.5064","","Google Earth, Google Maps, or other Satellite Imagery","","","10818","","","","","2/3/2026 1:59:49 PM","","Created by Todd Adamsson from 62 Skeena, Terrace","","2/3/2026",""
