"CODE","SHORT_NAME","DESCRIPTION","ACTIVE_IND","MEAS_UNIT_CD","CONVERSION_FACTOR","Results"
"445","m3/min W","Cubic metres per minute (Water)","Y","35","1440","759"
"64","% Transmittance","% Transmittance","Y","","","747"
"0","None","No Units","Y","","","7781"
"1","mg/L","Milligrams per litre","Y","","","15209775"
"2","ug/g","Micrograms per gram","Y","","","289191"
"3","mg","Milligrams","Y","","","3293"
"4","uS/cm","microsiemens per centimetre","Y","","","523752"
"5","pH units","pH units","Y","","","712789"
"6","Col. Unit","Color units","Y","","","95934"
"7","NTU","Nephelometric turbidity units","Y","","","335048"
"8","TAC","Total absorbed color units","Y","","","8255"
"9","SWU","Single wavelength color units","Y","","","28521"
"10","ml/L","Millilitres per litre","Y","","","58"
"11","%(V/V)","Percent volume per volume","Y","","","27972"
"12","%(W/W)","Percent(weight per weight)","Y","","","14685"
"13","g/m2","Grams per metre squared","Y","","","2751"
"14","ug/m3","Micrograms per metre cubed","Y","","","232415"
"15","mg/dm2/d","Milligrams per decimetre squared per day","Y","","","125294"
"16","Bq/L","Becquerels per litre","Y","","","2756"
"17","Fib/cm3","Fibres per cubic centimetre","Y","","","196"
"18","ueq/L","Microequivelents per litre","Y","","","18696"
"19","L","Litres","Y","","","3831"
"21","ppt","Parts per thousand (salinity measure)","Y","","","7606"
"22","CFU/100mL","Colony Forming Units per 100 mL","Y","","","180626"
"23","MPN/100mL","Most probable number per 100 ml sample","Y","","","46723"
"24","m","Metres","Y","","","41247"
"25","ug/cm2/d","Micrograms/square centimetre/day","Y","15","10","203"
"26","m3/s W","Cubic metres per second (Water)","Y","","","55194"
"27","m3/min A","Cubic metres per min (Air)","Y","","","52624"
"28","kPa","Kilopascal","Y","","","3358"
"29","t","Tonnes","Y","","","197"
"30","t/d","Tonnes per day","Y","","","52300"
"31","m/s","Metres per second","Y","","","47"
"32","C","Degrees Celsius","Y","","","509381"
"33","mV","Millivolts","Y","","","34217"
"34","%","Percent","Y","","","43259"
"35","m3/d","Cubic metres per day","Y","","","551062"
"36","mm","Millimeters","Y","24","1000","6178"
"39","pg/L","Picograms per litre","Y","","","5802"
"40","mg/m3","Milligrams per cubic metre","Y","14","0.001","128680"
"42","ug/L","Micrograms per Litre","Y","1","1000","3081162"
"43","ug/cm2","Micrograms per square centimetre","Y","13","100","6370"
"44","ug/g wet","Micrograms per gram (Wet)","Y","","","4818"
"45","pg/g","Picograms per Gram","Y","","","640"
"200","g/L","Grams per litre","Y","1","0.001","472"
"202","ng/L","Nanograms per litre","Y","1","1000000","136"
"205","ppm W","Parts per million (water)","Y","","","430"
"207","kg/m3","Kilograms per cubic metre","Y","1","0.001","16"
"213","ppm A","Parts per million (air)","Y","","","1381"
"216","ppb A","Parts per billion (air)","Y","","","427"
"220","m3","Cubic metres","Y","","","2030"
"227","mho/cm","Mhos per centimetre","Y","4","1E-6","514"
"228","umho/cm","Micromhos per centimetre","Y","4","1","977"
"237","ft","Feet","Y","24","3.2808","29"
"240","IG/d","Imperial gallons per day","Y","35","219.98","5779"
"244","E6IG/d","Million imperial gallons per day","Y","35","0.00021998","176"
"249","L/d","Litres per day","Y","35","1000","1585"
"250","E6L/d","Million litres per day","Y","35","0.001","11060"
"261","USG/min","US gallons per minute","Y","26","15851","68540"
"263","m3/min","Cubic metres per minute","Y","26","60","1038"
"264","m3/h","Cubic metres per hour","Y","26","3600","11"
"270","m3/s A","Cubic metres per second (air)","Y","27","0.016667","175"
"272","cfm A","Cubic feet per minute (air)","Y","27","35.315","4"
"281","mm Hg","Millimetres of Hg @0C","Y","28","7.5279","84"
"286","ug/dm2/d","Micrograms/square decimetre/day","Y","15","1000","345"
"289","ug/dm2/m","Micrograms/square decimetre/month","Y","15","30000","346"
"290","mg/dm2/m","Milligrams/square decimetre/month","Y","15","30","155"
"301","ug","Micrograms","Y","3","1000","319"
"305","mg/g","Milligrams per gram","Y","2","0.001","4"
"309","kg/adut","Kilograms per Air Dried Unbleached Tonne","Y","2","0.001","8"
"310","mg/kg","Milligrams per kilogram","Y","2","1","54461"
"311","mg/kg wet","Milligrams per kilogram (wet)","Y","44","1","8488"
"315","mg/m2","Milligrams per square metre","Y","13","1000","79"
"320","Ton/d","Tons per day","Y","30","1.1023","1"
"323","kg/d","Kilograms per day","Y","30","1000","107257"
"335","F","Degrees Fahrenheit","Y","","","33"
"338","m3/m","Cubic metres per month","Y","35","30.438","6"
"339","m3/w","Cubic metres per week","Y","35","7","250"
"340","m3/y","Cubic metres per year","Y","35","0.0027397","12"
"350","JTU","Jackson turbidity units","Y","7","1","15"
"355","MPN/100gm","Most Probable Number per 100 Grams","Y","","","30"
"356","L/min","Litres per minute","Y","26","60000","5832"
"358","kg/adt","Kilograms per Air Dried Tonne","Y","","","9518"
"369","adt/d","Air Dried Tonnes Per Day","Y","","","204551"
"374","h","Hours","Y","","","73"
"47","MPN/g","Most Probable Number per gram","Y","","","317"
"999","N/A","Not Applicable","Y","","","109"
"384","ug/ml","Micrograms per millilitre","Y","1","1","12677"
"48","% (Mortality)","Percent Mortality","Y","","","45677"
"455","t/ha","Tonnes per hectar","Y","","","30"
"241","USG/d","US gallons per day","Y","35","264.18","2830"
"251","E3m3/d","Thousand cubic metres per day","Y","35","0.001","41093"
"265","L/s","Litres per second","Y","26","1000","2654"
"307","kg/t","Kilograms per tonne","Y","2","0.001","230"
"49","ng/L","Nanograms per litre (standard unit)","Y","","","1028"
"46","No. Org.","Number of Organisms","Y","","","13683"
"385","Vehicles","Vehicles","Y","","","57"
"54","cells/cm2","Cells per square centimetre","Y","","","14114"
"53","cells/mL","Cells per millilitre","Y","","","77413"
"386","ug/kg","Micro grams per kilogram","Y","2","1000","207"
"55","umol/g","Micromole per gram","Y","","","133"
"387","No/m2","Number per square meter","Y","","","1461"
"058","% (Recovery)","% ( Recovery)","Y","","","1"
"59","pg/g wet","Picograms per Gram (Wet)","Y","","","203"
"389","Count","Count","Y","","","5168"
"60","CFU/mL","Colony Forming Units per mL","Y","","","159"
"61","% LEL","Per cent Lower Explosive Limit","Y","","","259"
"62","% Saturation","% Saturation","Y","","","393"
"63","AU/cm","Absorbance Units per centimetre","Y","","","2486"
"66","to/s","total organisms per sample","Y","","","50305"
"180","meq/L","Milliequivalent per litre","Y","","","9935"
"65","%T/cm","% Transmittance per centimetre","Y","","","15"
"68","ppm (S)","Parts per million (soils)","Y","","","4389"
"399","RFU","Relative Fluorescence Units","Y","","","204"
"426","mS/cm","milisiemens per centimetre","Y","4","0.001","1"
"500","day","Day","Y","","","2"
"551","per mille","per mille (0/00 VSMOW, isotope composition)","Y","","","42"
"552","mg/dscm","milligrams per dry standard cubic metre","Y","","","59"
