"Code","Name","Supports Unit Conversion","Unit Group"
"pH units","pH units",TRUE,"Acidity"
"ug/m3","Micrograms per metre cubed",TRUE,"AirConcentration"
"mg/m3","Milligrams per cubic metre",TRUE,"AirConcentration"
"mg/dscm","Milligrams per dry standard cubic metre",TRUE,"AirConcentration"
"adt/d","Air Dried Tonnes Per Day",FALSE,"AirDriedProductionRate"
"#/mL","Counts per ml",FALSE,"AmountOfSubstancePerVolume"
"Col. Unit","Color Units",FALSE,"Appearance"
"TAC","Total Absorbed Color units",FALSE,"Appearance"
"%T/cm","% Transmittance per centimetre",FALSE,"Appearance"
"SWU","Single Wavelength Color Units",FALSE,"Appearance"
"AU/cm","Absorbance Units per centimetre",FALSE,"Appearance"
"RFU","Relative Fluorescence Units",FALSE,"Appearance"
"ft2","Square feet",TRUE,"Area"
"ha","Hectares",TRUE,"Area"
"m2","Square metres",TRUE,"Area"
"cm2","Square centimetres",TRUE,"Area"
"ug/mL","Micrograms per millilitre",TRUE,"Concentration"
"pg/L","Picograms per litre",TRUE,"Concentration"
"mg/L","Milligrams per litre",TRUE,"Concentration"
"ug/L","Micrograms per litre",TRUE,"Concentration"
"kg/L","Kilograms per litre",TRUE,"Concentration"
"g/L","Grams per litre",TRUE,"Concentration"
"ng/L","Nanograms per litre",TRUE,"Concentration"
"No/m2","Number per square metre",FALSE,"Count"
"to/s","Total organisms per sample",FALSE,"Count"
"Vehicles","Vehicles",FALSE,"Count"
"No. Org.","Number of organisms",FALSE,"Count"
"cells/cm2","Cells per square centimetre",FALSE,"Count"
"cells/mL","Cells per millilitre",FALSE,"Count"
"#","Counts",FALSE,"Count"
"mA","Milliamps",TRUE,"Current"
"g/cm3","Grams per cubic centimetre",TRUE,"Density"
"kg/m3","Kilograms per cubic metre",TRUE,"Density"
"PSU","Practical Salinity Unit",TRUE,"DimensionlessRatio"
"ppm","Parts per million",TRUE,"DimensionlessRatio"
"%","Percent",TRUE,"DimensionlessRatio"
"ppt","Parts per thousand",TRUE,"DimensionlessRatio"
"ppb","Parts per billion",TRUE,"DimensionlessRatio"
"â€°","Per mille (0/00 VSMOW, isotope composition)",TRUE,"DimensionlessRatio"
"S/cm","Siemens per centimetre",TRUE,"ElectricConductivity"
"mho/cm","Mhos per centimetre",TRUE,"ElectricConductivity"
"umho/cm","Micromhos per centimetre",TRUE,"ElectricConductivity"
"mS/cm","Millisiemens per centimetre",TRUE,"ElectricConductivity"
"uS/cm","microsiemens per centimetre",TRUE,"ElectricConductivity"
"V","Volts",TRUE,"ElectricPotential"
"mV","Millivolts",TRUE,"ElectricPotential"
"uEq/L","Microequivalents per litre",TRUE,"Equivalents"
"mEq/L","Milliequivalents per litre",TRUE,"Equivalents"
"IG/d","Imperial gallons per day",TRUE,"Flow"
"m3/min","Cubic metres per minute",TRUE,"Flow"
"m3/yr","Cubic metres per year",TRUE,"Flow"
"L/min","Litres per minute",TRUE,"Flow"
"L/d","Litres per day",TRUE,"Flow"
"m3/hr","Cubic metres per hour",TRUE,"Flow"
"m3/d","Cubic metres per day",TRUE,"Flow"
"USG/d","US gallons per day",TRUE,"Flow"
"USG/min","US gallons per minute",TRUE,"Flow"
"m3/week","Cubic metres per week",TRUE,"Flow"
"ft3/d","Cubic feet per day",TRUE,"Flow"
"MIG/d","Million imperial gallons per day",TRUE,"Flow"
"ML/d","Million litres per day",TRUE,"Flow"
"L/s","Litres per second",TRUE,"Flow"
"tm3/d","Thousand cubic metres per day",TRUE,"Flow"
"ft3/min","Cubic feet per minute",TRUE,"Flow"
"m3/s","Cubic metres per second",TRUE,"Flow"
"m3/month","Cubic metres per month",TRUE,"Flow"
"ft","Feet",TRUE,"Length"
"m","Metres",TRUE,"Length"
"mm","Millimetres",TRUE,"Length"
"nm","Nanometres",TRUE,"Length"
"km","Kilometres",TRUE,"Length"
"um","Micrometres",TRUE,"Length"
"cm","Centimetres",TRUE,"Length"
"kmh","Kilometres per hour",TRUE,"LinearVelocity"
"m/s","Metres per second",TRUE,"LinearVelocity"
"ft/s","Feet per second",TRUE,"LinearVelocity"
"g","Grams",TRUE,"Mass"
"kg","Kilograms",TRUE,"Mass"
"pg","Picograms",TRUE,"Mass"
"t","Tonnes",TRUE,"Mass"
"Ton","US tons",TRUE,"Mass"
"ug","Micrograms",TRUE,"Mass"
"mg","Milligrams",TRUE,"Mass"
"Ton/d","US tons per day",TRUE,"MassFlow"
"kg/h","Kilograms per hour",TRUE,"MassFlow"
"g/s","Grams per second",TRUE,"MassFlow"
"kg/d","Kilograms per day",TRUE,"MassFlow"
"t/d","Tonnes per day",TRUE,"MassFlow"
"mg/dm2/month","Milligrams/square decimetre/month",TRUE,"MassFlux"
"ug/cm2/d","Micrograms/square centimetre/day",TRUE,"MassFlux"
"mg/cm2/d","Milligrams per centimetre squared per day",TRUE,"MassFlux"
"mg/cm2/d","Milligrams per centimetre squared per month",TRUE,"MassFlux"
"ug/dm2/d","Micrograms/square decimetre/day",TRUE,"MassFlux"
"mg/dm2/d","Milligrams per decimetre squared per day",TRUE,"MassFlux"
"ug/dm2/month","Micrograms/square decimetre/month",TRUE,"MassFlux"
"mg/cm2","Milligrams per square centimetre",TRUE,"MassPerArea"
"t/ha","Tonnes per hectare",TRUE,"MassPerArea"
"ug/cm2","Micrograms per square centimetre",TRUE,"MassPerArea"
"g/m2","Grams per metre squared",TRUE,"MassPerArea"
"mg/m2","Milligrams per square metre",TRUE,"MassPerArea"
"kg/t","Kilograms per tonne",TRUE,"MassPerMass"
"ug/kg","Micrograms per kilogram",TRUE,"MassPerMass"
"mg/g","Milligrams per gram",TRUE,"MassPerMass"
"mg/kg","Milligrams per kilogram",TRUE,"MassPerMass"
"pg/g","Picograms per gram",TRUE,"MassPerMass"
"ug/g","Micrograms per gram",TRUE,"MassPerMass"
"MPN/100mL","Most Probable Number per 100 ml",FALSE,"MicrobialFormation"
"CFU/g","Colony Forming Units per gram",FALSE,"MicrobialFormation"
"CFU/100mL","Colony Forming Units per 100 ml",FALSE,"MicrobialFormation"
"CFU/mL","Colony Forming Units per ml",FALSE,"MicrobialFormation"
"MPN/100g","Most Probable Number per 100 gram",FALSE,"MicrobialFormation"
"MPN/g","Most Probable Number per gram",FALSE,"MicrobialFormation"
"Unknown","Unknown",FALSE,"None"
"None","None",FALSE,"None"
"umol/g","Micromoles per gram",TRUE,"ParticlesPerMass"
"kg/adt","Kilograms per Air Dried Tonne",FALSE,"PerAirDriedTonne"
"kg/adut","Kilograms per Air Dried Unbleached Tonne",FALSE,"PerAirDriedTonne"
"MW","Megawatts",TRUE,"Power"
"kPa","Kilopascals",TRUE,"Pressure"
"mm Hg","Millimetres of Hg @0C",TRUE,"Pressure"
"Bq/L","Becquerels per litre",FALSE,"Radioactivity"
"feet","Elevation/Depth",TRUE,"SYS-REQUIRED - Length"
"metre","Elevation/Depth",TRUE,"SYS-REQUIRED - Length"
"degF","Degrees Fahrenheit",TRUE,"Temperature"
"degC","Degrees Celsius",TRUE,"Temperature"
"minute","Minutes",TRUE,"Time"
"month","Months",TRUE,"Time"
"hr","Hours",TRUE,"Time"
"day","Days",TRUE,"Time"
"JTU","Jackson Turbidity Units",FALSE,"Turbidity"
"NTU","Nephelometric Turbidity Units",FALSE,"Turbidity"
"USG","US gallons",TRUE,"Volume"
"ft3","Cubic feet",TRUE,"Volume"
"cm3","Cubic centimetres",TRUE,"Volume"
"L","Litres",TRUE,"Volume"
"m3","Cubic metres",TRUE,"Volume"
"mL","Millilitres",TRUE,"Volume"
"uL/mL","Microlitres per millilitre",TRUE,"VolumePerVolume"
"mL/L","Millilitres per litre",TRUE,"VolumePerVolume"
